,SUBJECT,DATE,WB_ny_gdp_mktp_cd,subject,date,umap0,umap1,umap2,pca0,pca1,pca2
0,ABW,1961,566432829610.7777,0,1961.0,7.6735444,-3.309184,2.7403603,-0.04278719307025962,0.001980810098304306,0.0001460901625573244
1,ABW,1962,305565979089.1742,0,1962.0,7.5840564,-3.149572,2.8538263,-0.04585428546913829,0.0022445808625083503,7.47964701485845e-05
2,ABW,1963,320214761112.21954,0,1963.0,7.5607963,-3.1994965,2.8104575,-0.04537599626773244,0.002306704414239996,9.64287195989513e-05
3,ABW,1964,329914685207.7635,0,1964.0,7.5895596,-3.145691,2.8583837,-0.04551586587069095,0.0024607852823225296,0.000119135794883716
4,ABW,1965,348839876930.01013,0,1965.0,7.5802636,-3.1851563,2.8241239,-0.044893861782556395,0.002401177992156597,2.2516713082535317e-05
5,ABW,1966,347651169151.73254,0,1966.0,7.5313354,-3.2358692,2.770856,-0.043695090803498135,0.0020757259056401246,-0.00023599445576802088
6,ABW,1967,338065919850.57324,0,1967.0000000000002,7.530976,-3.2364326,2.7695277,-0.043255797222650695,0.0025735760745740424,-0.00021602471554876867
7,ABW,1968,308487416038.5327,0,1968.0000000000002,7.5291104,-3.2315505,2.7739615,-0.04321681360419674,0.002852782535267896,-0.0003383334512598813
8,ABW,1969,276877845491.34015,0,1969.0000000000002,7.320821,-3.3173866,2.6846874,-0.04439810521627642,0.0021268742187531,-3.386167361893819e-05
9,ABW,1970,319598971072.12335,0,1969.9999999999998,7.1423564,-3.3704376,2.6262212,-0.042514231547210644,0.0020985537055497644,-0.0004777136146198449
10,ABW,1971,314067751681.0849,0,1970.9999999999998,7.0784016,-3.3861878,2.6053798,-0.041090009155012486,0.0010133421282568914,-0.0012407499208603352
11,ABW,1972,328515903364.05316,0,1971.9999999999998,7.019242,-3.3639233,2.6027198,-0.039802361105022964,0.0014785554142515735,-0.0012646392276250966
12,ABW,1973,346140479052.84235,0,1973.0,6.971796,-3.3459582,2.6082647,-0.03870376428744099,0.00174409049027618,-0.0011144186461947427
13,ABW,1974,348350427482.89276,0,1974.0,6.991761,-3.3488328,2.6018543,-0.0374329113839843,0.0020261076594470097,-0.001174692811763574
14,ABW,1975,378239110984.32983,0,1975.0,6.9294324,-3.32102,2.5800319,-0.035951022110906894,0.001956868728214305,-0.0011299355415390643
15,ABW,1976,388341890403.77795,0,1976.0,6.90838,-3.2927477,2.5560892,-0.03448603133932477,0.001655957751034197,-0.0014977220062221915
16,ABW,1977,403889391594.2262,0,1977.0,6.933386,-3.3269267,2.5935466,-0.033237532976535436,0.0014537289291974924,-0.0017999478534915115
17,ABW,1978,423858806621.39935,0,1978.0,6.869917,-3.2652473,2.5298536,-0.03182129581828404,0.0015813297487171601,-0.002113073411651826
18,ABW,1979,446844320428.80664,0,1979.0,6.8582087,-3.2334397,2.511613,-0.030439700342159526,0.0014846860248430365,-0.002481107007422352
19,ABW,1980,454325868839.1639,0,1980.0,6.838313,-3.236005,2.508112,-0.029267839176769818,0.0013920573399791593,-0.0026419449966945214
20,ABW,1981,455181254155.19806,0,1981.0000000000002,6.805592,-3.2014375,2.483383,-0.02861514822948361,0.001383317630580282,-0.003279003800624179
21,ABW,1982,447520955649.9142,0,1982.0000000000002,6.8366094,-3.2348957,2.5117826,-0.028116954533175174,0.0012529819284743528,-0.0033489422393285077
22,ABW,1983,382057928626.1322,0,1983.0000000000002,6.8674393,-3.2441566,2.5146258,-0.031095943895396203,0.0013607625978149947,-0.0016529612200750477
23,ABW,1984,377469780723.7186,0,1983.9999999999998,6.8689165,-3.2393079,2.5130548,-0.03074712514917869,0.0007030771114698674,-0.0011282197937830525
